,AccountNo,BetDate,ClassId,CategoryId,Source,BetCount,Bet_Amt,Win_Amt,Product,AccountNo_[0],Bet_Amt_[0],Vegas,Sportsbook,Games,Casino,Poker,Bingo,#N/A,Adjustments,CustId,CurrencyCode,DailyDepositLimit,StakeScale,SourceProd,AccountLocation,Title,FirstName,LastName,CreateDate,CountryCode,Language,Status,DateOfBirth,Contact,CustomerGroup,CLASSID,CATEGORYID,product,sub_product,description,bet_or_play
87,00357DG   ,05/11/2012,22512_XFER,22512,I,709,3158.0,3208.1,Vegas,00357DG   ,3158.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
88,01148BP   ,08/12/2012,2,9,M,11,3150.0,5100.0,Sportsbook,01148BP   ,3150.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
89,01284UW   ,30/10/2012,46,5,I,25,3145.0,2380.0,Sportsbook,01284UW   ,3145.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,46,5,Sportsbook,Football,European Major Leagues,1
90,01148BP   ,20/11/2012,3,8,I,8,3137.5,1687.5,Sportsbook,01148BP   ,3137.5,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,3,8,Sportsbook,Greyhounds,Greyhounds - Live,1
91,01148BP   ,03/12/2012,2,9,I,7,2860.0,3293.75,Sportsbook,01148BP   ,2860.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
92,01148BP   ,31/10/2012,2,9,I,7,2800.0,3000.0,Sportsbook,01148BP   ,2800.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
93,01196ZZ   ,23/10/2012,2,9,I,11,2760.0,2000.0,Sportsbook,01196ZZ   ,2760.0,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
94,00497XG   ,26/12/2012,638,0,I,986,2742.5,1674.6,Games,00497XG   ,2742.5,,,,,,,,,4188499,GBP,0,1.0,SB,GIB,Mr,Elvis,Presley,01/11/2011,US,en,A,18/10/1948,Y,Bronze,638,0,Games,Games tbc,Games tbc,1
95,01148BP   ,07/12/2012,2,9,M,7,2700.0,4950.0,Sportsbook,01148BP   ,2700.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
96,01284UW   ,14/10/2012,36,5,I,7,2700.0,0.0,Sportsbook,01284UW   ,2700.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,36,5,Sportsbook,Football,International Football,1
97,01196ZZ   ,23/09/2012,2,9,I,14,2650.0,1800.0,Sportsbook,01196ZZ   ,2650.0,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
98,01284UW   ,15/10/2012,36,5,I,6,2600.0,0.0,Sportsbook,01284UW   ,2600.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,36,5,Sportsbook,Football,International Football,1
99,01148BP   ,21/09/2012,2,9,I,8,2550.0,1550.0,Sportsbook,01148BP   ,2550.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
100,01148BP   ,15/10/2012,2,9,I,8,2540.0,1877.5,Sportsbook,01148BP   ,2540.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
101,01148BP   ,20/10/2012,2,9,N,7,2536.72,4839.22,Sportsbook,01148BP   ,2536.72,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
102,01148BP   ,05/09/2012,2,9,I,13,2525.0,3065.63,Sportsbook,01148BP   ,2525.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
103,01148BP   ,19/11/2012,3,8,I,7,2500.0,3200.0,Sportsbook,01148BP   ,2500.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,3,8,Sportsbook,Greyhounds,Greyhounds - Live,1
104,01284UW   ,21/10/2012,274,5,I,2,2500.0,0.0,Sportsbook,01284UW   ,2500.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,274,5,Sportsbook,Football,Other League Football,1
105,00357DG   ,09/11/2012,22512_XFER,22512,I,619,2428.0,2557.6,Vegas,00357DG   ,2428.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
106,01148BP   ,16/10/2012,2,9,I,7,2393.75,7331.25,Sportsbook,01148BP   ,2393.75,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
107,01152SJ   ,25/10/2012,22528_PRCH,22528,I,2,2377.08,0.0,Casino,01152SJ   ,2377.08,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22528_PRCH,22528,Casino,Casino Playtech CashIn,Casino Playtech,1
108,01152SJ   ,14/10/2012,22528_PRCH,22528,I,2,2365.0121,0.0,Casino,01152SJ   ,2365.0121,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22528_PRCH,22528,Casino,Casino Playtech CashIn,Casino Playtech,1
109,01152SJ   ,25/10/2012,22527_PRCH,22527,I,2,2313.7433,0.0,Poker,01152SJ   ,2313.7433,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
110,01148BP   ,19/12/2012,2,9,I,8,2275.0,1525.0,Sportsbook,01148BP   ,2275.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
111,01196ZZ   ,19/11/2012,2,9,I,13,2223.0,1848.73,Sportsbook,01196ZZ   ,2223.0,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
112,01148BP   ,29/09/2012,2,9,M,5,2200.0,900.0,Sportsbook,01148BP   ,2200.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
113,01152SJ   ,16/10/2012,22527_PRCH,22527,I,5,2177.5649,0.0,Poker,01152SJ   ,2177.5649,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
114,01148BP   ,30/11/2012,2,9,I,7,2162.5,3912.5,Sportsbook,01148BP   ,2162.5,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
115,01152SJ   ,16/10/2012,22528_PRCH,22528,I,1,2115.3487,0.0,Casino,01152SJ   ,2115.3487,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22528_PRCH,22528,Casino,Casino Playtech CashIn,Casino Playtech,1
116,01196ZZ   ,17/10/2012,2,9,I,14,2112.0,557.05,Sportsbook,01196ZZ   ,2112.0,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
117,01196ZZ   ,08/12/2012,2,9,I,16,2030.0,3475.5,Sportsbook,01196ZZ   ,2030.0,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
118,01148BP   ,26/11/2012,2,9,I,7,2020.0,3820.0,Sportsbook,01148BP   ,2020.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
119,01148BP   ,18/09/2012,2,9,I,6,2008.0,0.0,Sportsbook,01148BP   ,2008.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
120,01148BP   ,23/10/2012,2,9,I,5,2000.0,0.0,Sportsbook,01148BP   ,2000.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
121,01148BP   ,13/11/2012,2,9,I,7,2000.0,1837.5,Sportsbook,01284UW   ,1985.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
122,01284UW   ,02/11/2012,46,5,I,11,1985.0,2325.56,Sportsbook,01284UW   ,1980.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,46,5,Sportsbook,Football,European Major Leagues,1
123,01284UW   ,30/10/2012,1,5,I,14,1980.0,2800.0,Sportsbook,01152SJ   ,1948.2058,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,1,5,Sportsbook,Football,UK Football,1
124,01152SJ   ,08/09/2012,22527_PRCH,22527,I,2,1948.2058,0.0,Poker,01148BP   ,1900.0,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
125,01148BP   ,12/09/2012,2,9,I,9,1900.0,3300.0,Sportsbook,01152SJ   ,1873.5948,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
126,01152SJ   ,03/12/2012,22527_PRCH,22527,I,1,1873.5948,0.0,Poker,01152SJ   ,1870.4408,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
127,01152SJ   ,09/12/2012,22528_PRCH,22528,I,2,1870.4408,0.0,Casino,01152SJ   ,1859.6764,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22528_PRCH,22528,Casino,Casino Playtech CashIn,Casino Playtech,1
128,01152SJ   ,28/12/2012,22527_PRCH,22527,I,1,1859.6764,0.0,Poker,01148BP   ,1850.0,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
129,01148BP   ,10/11/2012,2,9,I,7,1850.0,2400.0,Sportsbook,00357DG   ,1835.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
130,00357DG   ,13/11/2012,22512_XFER,22512,I,242,1835.0,1662.5,Vegas,01148BP   ,1812.5,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
131,01148BP   ,22/10/2012,2,9,I,7,1812.5,562.5,Sportsbook,01148BP   ,1800.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
132,01148BP   ,01/10/2012,2,9,I,5,1800.0,3125.0,Sportsbook,01196ZZ   ,1800.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
133,01196ZZ   ,20/11/2012,2,9,I,5,1800.0,0.0,Sportsbook,01152SJ   ,1796.4444,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
134,01152SJ   ,19/10/2012,22527_PRCH,22527,I,6,1796.4444,0.0,Poker,01152SJ   ,1785.2668,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
135,01152SJ   ,09/09/2012,22528_PRCH,22528,I,4,1785.2668,0.0,Casino,01196ZZ   ,1770.0,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22528_PRCH,22528,Casino,Casino Playtech CashIn,Casino Playtech,1
136,01196ZZ   ,17/11/2012,2,9,I,9,1770.0,4270.5,Sportsbook,01152SJ   ,1743.6792,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
137,01152SJ   ,17/10/2012,22528_PRCH,22528,I,1,1743.6792,0.0,Casino,01148BP   ,1737.5,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22528_PRCH,22528,Casino,Casino Playtech CashIn,Casino Playtech,1
138,01148BP   ,29/10/2012,2,9,I,6,1737.5,1806.25,Sportsbook,01152SJ   ,1705.9773,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
139,01152SJ   ,20/10/2012,22527_PRCH,22527,I,6,1705.9773,0.0,Poker,01148BP   ,1700.13,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
140,01148BP   ,15/09/2012,2,9,I,8,1700.13,0.0,Sportsbook,01148BP   ,1700.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
141,01148BP   ,11/10/2012,2,9,I,6,1700.0,0.0,Sportsbook,01284UW   ,1700.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
142,01284UW   ,20/10/2012,46,5,I,7,1700.0,0.0,Sportsbook,01148BP   ,1680.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,46,5,Sportsbook,Football,European Major Leagues,1
143,01148BP   ,17/10/2012,2,9,N,4,1680.0,0.0,Sportsbook,01152SJ   ,1644.7409,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
144,01152SJ   ,09/12/2012,22527_PRCH,22527,I,2,1644.7409,0.0,Poker,00357DG   ,1640.0,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
145,00357DG   ,12/11/2012,612,0,I,351,1640.0,1325.25,Games,01148BP   ,1640.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,612,0,Games,Games tbc,Games tbc,1
146,01148BP   ,15/09/2012,2,9,M,5,1640.0,1640.0,Sportsbook,01148BP   ,1600.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
147,01148BP   ,02/12/2012,2,9,I,5,1600.0,2450.0,Sportsbook,01148BP   ,1595.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
148,01148BP   ,18/10/2012,3,8,I,4,1595.0,2745.0,Sportsbook,00357DG   ,1580.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,3,8,Sportsbook,Greyhounds,Greyhounds - Live,1
149,00357DG   ,02/11/2012,22512_XFER,22512,I,437,1580.0,1337.1,Vegas,01152SJ   ,1562.0119,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
150,01152SJ   ,30/11/2012,22527_PRCH,22527,I,1,1562.0119,0.0,Poker,01152SJ   ,1557.7677,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
151,01152SJ   ,15/10/2012,22527_PRCH,22527,I,2,1557.7677,0.0,Poker,01284UW   ,1554.0,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
152,01284UW   ,23/12/2012,46,5,I,33,1554.0,1369.69,Sportsbook,01148BP   ,1550.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,46,5,Sportsbook,Football,European Major Leagues,1
153,01148BP   ,22/09/2012,2,9,I,5,1550.0,0.0,Sportsbook,00497XG   ,1540.05,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
154,01148BP   ,03/11/2012,2,9,I,3,1550.0,0.0,Sportsbook,01152SJ   ,1516.7794,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
155,00497XG   ,30/12/2012,638,0,I,617,1540.05,1295.26,Games,00C017    ,1500.0,,,,,,,,,4188499,GBP,0,1.0,SB,GIB,Mr,Elvis,Presley,01/11/2011,US,en,A,18/10/1948,Y,Bronze,638,0,Games,Games tbc,Games tbc,1
156,01152SJ   ,01/09/2012,22528_PRCH,22528,I,3,1516.7794,0.0,Casino,01148BP   ,1500.0,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22528_PRCH,22528,Casino,Casino Playtech CashIn,Casino Playtech,1
157,00C017    ,23/11/2012,22527_PRCH,22527,I,4,1500.0,0.0,Poker,01152SJ   ,1479.4054,,,,,,,,,889782,GBP,1500,0.41,XX,GIB,Mr,Bob,Marley,16/01/2008,UK ,en,A,18/04/1964,Y,Silver,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
158,01148BP   ,23/11/2012,2,9,N,4,1500.0,900.0,Sportsbook,01148BP   ,1450.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
159,01152SJ   ,04/10/2012,22528_PRCH,22528,I,3,1479.4054,0.0,Casino,01152SJ   ,1436.9968,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22528_PRCH,22528,Casino,Casino Playtech CashIn,Casino Playtech,1
160,01148BP   ,07/09/2012,2,9,I,4,1450.0,0.0,Sportsbook,01196ZZ   ,1414.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
161,01148BP   ,07/12/2012,2,9,N,2,1450.0,2200.0,Sportsbook,01196ZZ   ,1412.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
162,01152SJ   ,02/12/2012,22527_PRCH,22527,I,1,1436.9968,0.0,Poker,01148BP   ,1408.13,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
163,01196ZZ   ,17/11/2012,3,8,I,9,1414.0,550.0,Sportsbook,01148BP   ,1400.0,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,3,8,Sportsbook,Greyhounds,Greyhounds - Live,1
164,01196ZZ   ,24/11/2012,2,9,I,12,1412.0,406.5,Sportsbook,01196ZZ   ,1400.0,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
165,01148BP   ,18/11/2012,2,9,I,5,1408.13,1556.88,Sportsbook,01152SJ   ,1355.7315,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
166,01148BP   ,06/09/2012,2,9,I,4,1400.0,0.0,Sportsbook,01196ZZ   ,1348.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
167,01196ZZ   ,17/12/2012,22512_XFER,22512,I,16,1400.0,900.0,Vegas,01148BP   ,1337.5,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
168,01152SJ   ,10/12/2012,22528_PRCH,22528,I,1,1355.7315,0.0,Casino,01148BP   ,1315.0,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22528_PRCH,22528,Casino,Casino Playtech CashIn,Casino Playtech,1
169,01196ZZ   ,15/10/2012,2,9,I,5,1348.0,3773.25,Sportsbook,01152SJ   ,1309.9826,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
170,01148BP   ,21/11/2012,2,9,I,3,1337.5,900.0,Sportsbook,01152SJ   ,1306.1579,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
171,01148BP   ,20/10/2012,2,9,I,5,1315.0,1275.0,Sportsbook,01148BP   ,1300.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
172,01152SJ   ,08/12/2012,22527_PRCH,22527,I,1,1309.9826,0.0,Poker,01148BP   ,1275.0,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
173,01152SJ   ,18/10/2012,22528_PRCH,22528,I,5,1306.1579,0.0,Casino,01148BP   ,1270.0,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22528_PRCH,22528,Casino,Casino Playtech CashIn,Casino Playtech,1
174,01148BP   ,05/12/2012,2,9,N,3,1300.0,3600.0,Sportsbook,01152SJ   ,1261.1322,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
